1,282,183
2,1064,963
3,110,9
4,205,106
5,166,67
6,460,361
7,975,876
8,862,763
9,360,260
10,477,377
11,567,467
12,991,890
13,1008,907
14,175,75
15,983,884
16,231,132
17,488,388
18,330,231
19,741,640
20,105,5
21,225,124
22,796,695
23,815,715
24,443,342
25,520,420
26,690,591
27,429,329
28,474,375
29,497,397
30,785,686
31,1094,993
32,814,715
33,862,763
34,393,292
35,495,395
36,675,576
37,992,891
38,657,556
39,879,779
40,275,174
41,906,806
42,110,9
43,400,301
44,738,637
45,251,150
46,414,314
47,828,729
48,1076,977
49,409,310
50,580,479
51,723,622
52,932,831
53,375,276
54,454,355
55,501,400
56,452,351
57,181,80
58,694,594
59,360,259
60,365,265
61,1057,956
62,397,298
63,1058,959
64,470,370
65,168,67
66,622,523
67,295,196
68,441,342
69,535,435
70,269,169
71,264,165
72,745,645
73,1016,917
74,705,606
75,956,855
76,1101,1000
77,695,594
78,623,522
79,492,392
80,487,386
81,600,501
82,673,573
83,727,626
84,750,649
85,368,269
86,620,521
87,970,871
88,398,299
89,172,73
90,398,298
91,231,132
92,385,284
93,615,516
94,155,55
95,1012,911
96,343,244
97,253,152
98,356,256
99,150,51
100,1038,939
101,481,380
102,834,735
103,972,873
104,827,727
105,1053,952
106,372,273
107,513,414
108,991,890
109,763,662
110,944,844
111,271,170
112,753,654
113,453,352
114,789,688
115,399,300
116,349,250
117,961,862
118,947,848
119,301,200
120,752,652
121,434,335
122,453,352
123,206,107
124,241,142
125,705,604
126,113,14
127,120,19
128,886,787
129,991,890
130,910,810
131,516,417
132,573,472
133,290,190
134,370,271
135,1036,936
136,904,805
137,949,848
138,1013,914
139,864,765
140,440,339
141,279,178
142,203,104
143,298,198
144,665,566
145,1019,920
146,893,793
147,1065,965
148,909,810
149,268,168
150,580,481
151,649,548
152,173,72
153,758,657
154,256,155
155,533,433
156,1051,951
157,304,205
158,659,558
159,1020,921
160,457,356
161,460,360
162,638,538
163,1074,973
164,922,821
165,157,56
166,501,401
167,701,602
168,338,239
169,880,781
170,755,656
171,463,362
172,865,765
173,571,472
174,257,157
175,514,414
176,750,650
177,624,525
178,693,592
179,400,301
180,998,899
181,254,154
182,504,404
183,510,411
184,595,495
185,435,336
186,424,324
187,522,421
188,277,176
189,540,439
190,259,160
191,236,137
192,213,114
193,999,899
194,146,47
195,693,592
196,270,169
197,432,331
198,681,581
199,370,270
200,577,476
