1,764,334
2,53,690
3,46,288
4,978,129
5,736,354
6,119,832
7,328,35
8,290,426
9,437,571
10,65,944
11,613,66
12,273,337
13,65,282
14,552,778
15,517,579
16,642,139
17,4,515
18,472,270
19,737,751
20,568,484
21,656,115
22,749,214
23,330,290
24,790,413
25,231,819
26,453,878
27,38,936
28,630,534
29,216,484
30,679,205
31,819,600
32,310,218
33,690,74
34,285,259
35,466,90
36,859,863
37,751,218
38,957,107
39,685,930
40,618,565
41,506,357
42,12,24
43,304,740
44,585,124
45,377,413
46,465,609
47,939,136
48,523,472
49,523,797
50,32,766
